session_id,date_key,visit_date,customer_id,product_id,marketing_channel_id,device_type_id,location_id,pages_viewed,time_on_site_sec,cart_flag,order_flag,abandon_flag,quantity,unit_price,discount_amount,discount_percent,revenue,session_duration_bucket,user_type,session_count
58,20240919,2024-09-19,7689,658,3,0,147,13,1687,1,0,1,4,1003.8,0.0,0,0.0,Very Long,1,1
59,20240229,2024-02-29,7146,106,4,0,137,19,889,1,0,1,2,752.04,0.0,0,0.0,Short,1,1
60,20241115,2024-11-15,9301,418,3,1,70,8,1211,1,0,1,2,1493.22,0.0,0,0.0,Long,0,1
61,20240306,2024-03-06,7702,351,4,2,99,9,508,0,0,0,2,702.87,140.57,10,0.0,Short,0,1
62,20240727,2024-07-27,4299,85,5,0,114,20,1223,1,0,1,1,228.95,68.68,30,0.0,Long,0,1
63,20240723,2024-07-23,9706,109,1,0,179,19,1316,1,0,1,4,509.21,203.68,10,0.0,Long,0,1
64,20240320,2024-03-20,4697,856,1,1,202,6,1456,1,0,1,3,544.5,163.35,10,0.0,Very Long,1,1
65,20240517,2024-05-17,3932,839,1,1,178,3,1580,0,0,0,3,1191.35,0.0,0,0.0,Very Long,0,1
66,20240120,2024-01-20,9148,878,0,1,191,23,412,1,1,0,3,1130.83,0.0,0,3392.49,Very Short,1,1
67,20240621,2024-06-21,4333,406,0,0,17,12,1323,1,1,0,2,311.68,124.67,20,498.69,Long,1,1
68,20240904,2024-09-04,1687,333,2,2,197,3,199,0,0,0,4,1622.05,0.0,0,0.0,Very Short,0,1
69,20240422,2024-04-22,5225,817,2,0,13,14,1541,1,0,1,3,830.16,373.57,15,0.0,Very Long,0,1
70,20240715,2024-07-15,8160,169,3,0,224,6,734,1,1,0,1,377.62,0.0,0,377.62,Short,0,1
71,20241214,2024-12-14,2705,408,0,0,125,13,1744,0,0,0,4,956.9,956.9,25,0.0,Very Long,1,1
72,20240326,2024-03-26,5166,678,5,0,1,12,1363,1,0,1,2,453.27,0.0,0,0.0,Very Long,1,1
73,20240416,2024-04-16,2169,81,0,1,29,16,179,1,0,1,1,766.88,0.0,0,0.0,Very Short,0,1
74,20240213,2024-02-13,7177,239,1,0,15,12,637,1,1,0,4,494.63,98.93,5,1879.59,Short,0,1
75,20240716,2024-07-16,5280,321,1,1,211,4,1320,1,1,0,3,361.94,325.75,30,760.07,Long,1,1
76,20240315,2024-03-15,3971,887,4,0,203,22,889,0,0,0,1,1001.55,0.0,0,0.0,Short,0,1
77,20241107,2024-11-07,3041,873,2,0,14,19,1737,0,0,0,3,205.08,123.05,20,0.0,Very Long,0,1
78,20240416,2024-04-16,6079,209,0,1,36,1,687,1,0,1,1,1148.23,57.41,5,0.0,Short,0,1
79,20240830,2024-08-30,7027,787,3,1,66,23,1701,1,0,1,2,880.53,88.05,5,0.0,Very Long,0,1
80,20240310,2024-03-10,9461,550,1,0,21,20,928,0,0,0,2,240.22,24.02,5,0.0,Long,1,1
81,20240427,2024-04-27,4933,461,3,0,9,17,1243,0,0,0,1,717.73,0.0,0,0.0,Long,1,1
82,20240303,2024-03-03,2446,185,2,1,46,4,1581,1,1,0,4,1576.25,0.0,0,6305.0,Very Long,0,1
83,20240720,2024-07-20,8493,295,0,1,25,13,1088,1,0,1,3,467.97,0.0,0,0.0,Long,0,1
84,20240111,2024-01-11,6667,492,0,1,6,6,33,1,0,1,2,1155.56,115.56,5,0.0,Very Short,1,1
85,20240131,2024-01-31,7301,147,4,1,20,17,1767,1,0,1,3,266.92,0.0,0,0.0,Very Long,0,1
86,20240702,2024-07-02,1874,421,1,0,17,2,1623,1,0,1,2,194.94,38.99,10,0.0,Very Long,1,1
87,20240718,2024-07-18,3810,123,4,2,218,19,1343,1,0,1,2,1894.89,0.0,0,0.0,Long,1,1
88,20240430,2024-04-30,7909,78,5,0,4,16,302,1,1,0,4,1392.83,0.0,0,5571.32,Very Short,1,1
89,20240606,2024-06-06,8489,139,0,0,187,22,1666,1,0,1,3,811.02,0.0,0,0.0,Very Long,0,1
90,20240601,2024-06-01,4916,679,1,1,63,10,240,0,0,0,3,267.27,40.09,5,0.0,Very Short,1,1
91,20241003,2024-10-03,8242,478,5,0,49,7,677,1,0,1,3,537.22,241.75,15,0.0,Short,0,1
92,20240611,2024-06-11,8574,741,5,1,140,7,1780,1,0,1,4,713.73,570.98,20,0.0,Very Long,1,1
93,20241105,2024-11-05,4486,628,5,0,90,18,198,1,0,1,1,326.38,0.0,0,0.0,Very Short,1,1
94,20240320,2024-03-20,9081,41,2,1,102,21,1026,1,0,1,3,1299.26,194.89,5,0.0,Long,1,1
95,20240313,2024-03-13,3594,266,5,1,168,18,1590,0,0,0,2,1315.98,394.79,15,0.0,Very Long,0,1
96,20240527,2024-05-27,3155,306,4,1,34,23,628,1,0,1,1,712.19,0.0,0,0.0,Short,1,1
97,20240130,2024-01-30,7141,884,2,1,197,2,983,1,0,1,4,1872.33,374.47,5,0.0,Long,1,1
98,20240901,2024-09-01,6730,538,2,0,76,13,1473,1,0,1,1,850.72,127.61,15,0.0,Very Long,0,1
99,20240522,2024-05-22,2257,419,2,1,35,24,662,1,0,1,1,412.72,61.91,15,0.0,Short,1,1
100,20240513,2024-05-13,8493,840,5,1,140,20,906,1,0,1,1,988.76,197.75,20,0.0,Long,1,1
101,20240713,2024-07-13,2798,535,0,1,117,2,114,1,0,1,3,1855.47,1113.28,20,0.0,Very Short,1,1
102,20240130,2024-01-30,8243,659,5,0,163,2,1701,1,0,1,4,1311.93,524.77,10,0.0,Very Long,0,1
103,20240517,2024-05-17,1066,481,1,0,77,13,1264,1,0,1,4,845.68,845.68,25,0.0,Long,1,1
104,20241220,2024-12-20,8170,364,2,0,140,17,1774,1,0,1,3,155.36,0.0,0,0.0,Very Long,0,1
105,20240817,2024-08-17,8081,693,3,1,128,19,1013,1,1,0,1,884.9,176.98,20,707.92,Long,1,1
106,20240728,2024-07-28,8022,328,2,1,167,12,471,1,0,1,3,1156.58,0.0,0,0.0,Short,1,1
107,20240703,2024-07-03,6982,841,5,2,200,21,1014,0,0,0,4,646.87,129.37,5,0.0,Long,0,1
108,20240620,2024-06-20,5243,299,2,1,14,18,1698,1,0,1,2,605.61,121.12,10,0.0,Very Long,1,1
109,20241207,2024-12-07,7345,761,5,1,76,14,1773,1,0,1,3,549.85,164.96,10,0.0,Very Long,1,1
110,20241205,2024-12-05,3493,66,5,1,172,4,127,1,0,1,2,1289.36,386.81,15,0.0,Very Short,0,1
111,20240529,2024-05-29,8025,462,5,0,77,5,1017,1,1,0,2,317.14,63.43,10,570.85,Long,0,1
112,20241203,2024-12-03,6000,432,4,1,85,23,1102,0,0,0,3,1490.71,1341.64,30,0.0,Long,1,1
113,20240131,2024-01-31,5129,843,1,1,34,23,1111,1,0,1,2,346.05,34.61,5,0.0,Long,1,1
114,20240426,2024-04-26,5549,335,2,0,48,22,826,1,0,1,3,445.17,200.33,15,0.0,Short,0,1
115,20240420,2024-04-20,6118,376,2,0,119,6,601,0,0,0,3,297.9,89.37,10,0.0,Short,1,1
116,20240911,2024-09-11,1335,55,3,0,90,10,1159,0,0,0,1,1168.82,233.76,20,0.0,Long,0,1
117,20240809,2024-08-09,2258,66,1,1,157,20,855,1,1,0,2,342.89,68.58,10,617.2,Short,0,1
118,20240621,2024-06-21,3209,504,3,0,68,3,469,0,0,0,2,504.35,0.0,0,0.0,Short,1,1
119,20240403,2024-04-03,2030,119,2,0,118,8,1034,1,1,0,1,415.02,0.0,0,415.02,Long,0,1
120,20240704,2024-07-04,4956,301,1,0,222,8,1575,1,1,0,1,1499.58,299.92,20,1199.66,Very Long,1,1
121,20240408,2024-04-08,7014,855,0,1,44,21,166,1,0,1,3,772.57,231.77,10,0.0,Very Short,0,1
122,20240630,2024-06-30,6889,261,4,1,175,20,992,1,0,1,1,217.59,0.0,0,0.0,Long,0,1
123,20240503,2024-05-03,5239,845,1,2,86,9,1739,1,1,0,1,625.89,31.29,5,594.6,Very Long,1,1
124,20241120,2024-11-20,8694,376,0,1,204,2,1756,0,0,0,4,652.85,261.14,10,0.0,Very Long,0,1
125,20240929,2024-09-29,6086,821,1,0,109,22,1101,1,1,0,4,982.23,0.0,0,3928.92,Long,1,1
126,20240304,2024-03-04,1712,314,5,0,12,12,1181,0,0,0,4,832.56,0.0,0,0.0,Long,1,1
127,20241209,2024-12-09,7884,675,1,1,38,8,1069,0,0,0,1,1910.48,382.1,20,0.0,Long,1,1
128,20240828,2024-08-28,6170,134,1,1,139,2,653,1,1,0,4,107.69,21.54,5,409.22,Short,1,1
129,20240507,2024-05-07,6711,610,3,1,123,18,1645,1,0,1,4,981.34,0.0,0,0.0,Very Long,1,1
130,20240712,2024-07-12,6087,300,1,0,64,20,528,1,0,1,1,204.24,0.0,0,0.0,Short,0,1
131,20240312,2024-03-12,5981,753,1,2,88,20,445,1,0,1,1,237.08,35.56,15,0.0,Very Short,1,1
132,20240118,2024-01-18,1815,409,1,0,175,2,903,0,0,0,3,482.79,217.26,15,0.0,Short,0,1
133,20240602,2024-06-02,6032,400,2,1,48,18,397,1,0,1,3,119.85,0.0,0,0.0,Very Short,1,1
134,20241012,2024-10-12,8153,585,2,1,128,16,748,1,1,0,3,196.81,118.09,20,472.34,Short,1,1
135,20240508,2024-05-08,3735,492,2,1,57,5,1704,1,1,0,1,157.38,47.21,30,110.17,Very Long,0,1
136,20240520,2024-05-20,6424,496,2,1,94,8,987,0,0,0,3,1594.29,0.0,0,0.0,Long,1,1
137,20241227,2024-12-27,1277,807,3,1,151,9,1789,1,0,1,2,403.3,0.0,0,0.0,Very Long,0,1
138,20241226,2024-12-26,4127,666,1,1,51,23,330,1,0,1,2,1425.39,142.54,5,0.0,Very Short,1,1
139,20240618,2024-06-18,4930,51,1,1,201,19,372,1,0,1,4,1922.0,0.0,0,0.0,Very Short,0,1
140,20240117,2024-01-17,9843,857,3,0,52,7,105,0,0,0,4,189.57,37.91,5,0.0,Very Short,0,1
141,20240904,2024-09-04,2931,506,2,0,118,9,1297,1,1,0,4,1207.13,724.28,15,4104.24,Long,1,1
142,20240917,2024-09-17,3488,62,1,1,213,13,1678,0,0,0,2,289.18,86.75,15,0.0,Very Long,1,1
143,20241129,2024-11-29,4676,342,0,1,124,8,1285,0,0,0,4,356.93,285.54,20,0.0,Long,1,1
144,20241212,2024-12-12,9932,17,5,1,224,15,755,1,1,0,1,943.38,0.0,0,943.38,Short,1,1
145,20240817,2024-08-17,8679,499,2,1,99,20,757,1,0,1,3,55.65,41.74,25,0.0,Short,1,1
146,20240209,2024-02-09,1312,566,5,0,217,20,616,1,1,0,3,1103.54,0.0,0,3310.62,Short,1,1
147,20240401,2024-04-01,3105,860,3,1,30,1,187,0,0,0,3,217.58,0.0,0,0.0,Very Short,1,1
148,20240918,2024-09-18,8394,608,0,2,45,20,359,1,0,1,1,273.63,27.36,10,0.0,Very Short,0,1
149,20240809,2024-08-09,1524,706,2,0,202,12,799,1,0,1,4,978.16,195.63,5,0.0,Short,1,1
150,20240608,2024-06-08,8700,726,5,0,187,9,1544,1,0,1,3,285.21,128.34,15,0.0,Very Long,0,1
151,20240526,2024-05-26,3532,428,1,0,7,1,55,0,0,0,1,64.08,6.41,10,0.0,Very Short,1,1
152,20240915,2024-09-15,9257,351,4,1,56,1,1204,0,0,0,1,652.34,32.62,5,0.0,Long,1,1
153,20240603,2024-06-03,3642,612,0,0,133,9,549,1,0,1,3,1401.02,420.31,10,0.0,Short,1,1
154,20240226,2024-02-26,4908,64,1,1,52,18,637,1,1,0,1,972.14,291.64,30,680.5,Short,1,1
155,20241223,2024-12-23,6956,506,5,0,100,24,1270,1,0,1,3,1197.97,359.39,10,0.0,Long,1,1
156,20240507,2024-05-07,2136,155,0,0,203,20,931,1,1,0,2,1253.85,0.0,0,2507.7,Long,0,1
157,20240411,2024-04-11,6012,177,2,0,111,21,1671,1,0,1,2,1391.19,0.0,0,0.0,Very Long,1,1
158,20240126,2024-01-26,5544,789,0,0,159,17,840,1,1,0,2,295.93,0.0,0,591.86,Short,0,1
159,20240620,2024-06-20,8054,409,2,1,69,6,669,1,1,0,3,1712.12,0.0,0,5136.36,Short,0,1
160,20241225,2024-12-25,9963,494,2,2,121,9,54,0,0,0,1,147.88,0.0,0,0.0,Very Short,0,1
161,20240228,2024-02-28,6978,99,2,1,172,2,765,1,0,1,3,761.37,342.62,15,0.0,Short,1,1
162,20240330,2024-03-30,4682,245,5,1,63,21,751,0,0,0,3,270.76,81.23,10,0.0,Short,1,1
163,20240306,2024-03-06,4657,410,2,0,167,11,189,1,1,0,3,1251.49,0.0,0,3754.47,Very Short,1,1
164,20240204,2024-02-04,4761,814,0,1,83,24,1159,0,0,0,3,197.03,29.55,5,0.0,Long,0,1
165,20240808,2024-08-08,8325,395,4,1,3,10,1056,0,0,0,4,305.41,0.0,0,0.0,Long,0,1
166,20240418,2024-04-18,3890,566,5,1,58,9,718,0,0,0,3,394.1,59.12,5,0.0,Short,0,1
167,20241001,2024-10-01,2502,627,2,1,13,18,30,1,0,1,3,374.68,224.81,20,0.0,Very Short,0,1
168,20240526,2024-05-26,4008,178,1,0,27,17,1690,0,0,0,3,458.63,0.0,0,0.0,Very Long,1,1
169,20240820,2024-08-20,1204,242,1,0,126,8,890,0,0,0,3,632.95,0.0,0,0.0,Short,0,1
170,20240202,2024-02-02,1955,476,0,0,145,17,723,1,0,1,3,489.49,440.54,30,0.0,Short,0,1
171,20240430,2024-04-30,1810,353,2,1,56,20,1006,0,0,0,1,456.74,22.84,5,0.0,Long,1,1
172,20240531,2024-05-31,7943,732,5,1,219,6,1752,1,1,0,4,825.76,660.61,20,2642.43,Very Long,1,1
173,20240122,2024-01-22,7500,370,0,2,110,7,1641,1,0,1,1,486.38,0.0,0,0.0,Very Long,1,1
174,20240602,2024-06-02,7270,403,1,0,208,9,659,0,0,0,1,455.57,22.78,5,0.0,Short,0,1
175,20240620,2024-06-20,5156,154,0,1,191,17,1694,0,0,0,3,496.86,149.06,10,0.0,Very Long,1,1
176,20240527,2024-05-27,7452,631,4,1,60,20,202,0,0,0,3,646.61,0.0,0,0.0,Very Short,0,1
177,20240703,2024-07-03,2451,658,3,0,196,16,461,1,1,0,3,676.24,405.74,20,1622.98,Short,1,1
178,20241017,2024-10-17,9104,415,5,0,100,17,19,0,0,0,3,1681.91,1009.15,20,0.0,Very Short,1,1
179,20241008,2024-10-08,5508,601,4,1,213,21,1318,1,1,0,2,1707.61,683.04,20,2732.18,Long,0,1
180,20240106,2024-01-06,9441,874,5,1,93,22,1071,1,0,1,2,480.06,192.02,20,0.0,Long,0,1
181,20240821,2024-08-21,2370,360,5,0,129,9,1264,0,0,0,3,1134.82,1021.34,30,0.0,Long,0,1
182,20241125,2024-11-25,5475,15,4,0,183,24,1282,0,0,0,1,888.19,44.41,5,0.0,Long,0,1
183,20241114,2024-11-14,7266,142,1,0,123,18,98,1,0,1,3,520.42,78.06,5,0.0,Very Short,0,1
184,20240428,2024-04-28,5460,578,3,1,44,11,918,0,0,0,3,315.75,0.0,0,0.0,Long,0,1
185,20241012,2024-10-12,5014,707,3,1,168,8,1255,1,0,1,1,783.46,0.0,0,0.0,Long,0,1
186,20241019,2024-10-19,2495,483,5,0,107,18,149,0,0,0,1,536.34,0.0,0,0.0,Very Short,0,1
187,20240513,2024-05-13,4428,622,2,1,137,8,1291,0,0,0,4,269.37,0.0,0,0.0,Long,0,1
188,20241113,2024-11-13,3148,12,0,2,198,22,165,1,0,1,3,671.83,201.55,10,0.0,Very Short,0,1
189,20240818,2024-08-18,3713,597,5,0,111,3,1347,1,0,1,3,502.22,226.0,15,0.0,Long,0,1
190,20241001,2024-10-01,7152,572,5,0,94,22,974,0,0,0,2,543.67,0.0,0,0.0,Long,1,1
191,20240929,2024-09-29,6671,850,5,0,92,12,827,0,0,0,2,1017.34,508.67,25,0.0,Short,0,1
192,20241012,2024-10-12,6464,353,2,0,115,13,1787,0,0,0,2,889.74,266.92,15,0.0,Very Long,0,1
193,20241215,2024-12-15,4255,722,0,1,182,13,786,0,0,0,1,561.28,84.19,15,0.0,Short,1,1
194,20241108,2024-11-08,9636,218,2,1,182,9,247,1,0,1,1,191.56,38.31,20,0.0,Very Short,0,1
195,20240603,2024-06-03,1788,807,5,1,7,11,758,0,0,0,3,443.67,332.75,25,0.0,Short,0,1
196,20240724,2024-07-24,4082,496,0,0,224,22,260,1,0,1,4,1791.4,716.56,10,0.0,Very Short,1,1
197,20240824,2024-08-24,2061,683,5,1,90,16,1354,0,0,0,4,188.4,75.36,10,0.0,Long,0,1
198,20241108,2024-11-08,4050,472,2,0,81,23,352,1,0,1,2,255.41,0.0,0,0.0,Very Short,1,1
199,20240523,2024-05-23,9656,670,3,0,156,4,43,0,0,0,1,298.03,0.0,0,0.0,Very Short,1,1
200,20240424,2024-04-24,4296,727,4,0,199,22,1469,1,0,1,3,317.01,142.65,15,0.0,Very Long,1,1
201,20240926,2024-09-26,9176,681,3,1,157,19,306,1,1,0,4,213.92,85.57,10,770.11,Very Short,1,1
202,20241214,2024-12-14,5455,884,3,1,92,15,1386,1,0,1,2,916.89,275.07,15,0.0,Very Long,0,1
203,20241128,2024-11-28,7296,849,1,1,72,19,1600,1,0,1,4,976.56,585.94,15,0.0,Very Long,0,1
204,20240224,2024-02-24,5116,715,0,1,190,11,421,1,0,1,2,333.47,0.0,0,0.0,Very Short,0,1
205,20241201,2024-12-01,3392,471,3,0,93,18,1532,1,0,1,4,593.22,474.58,20,0.0,Very Long,0,1
206,20241015,2024-10-15,7877,83,3,0,11,18,426,1,0,1,1,243.59,48.72,20,0.0,Very Short,1,1
207,20240227,2024-02-27,9721,369,2,1,162,10,1496,1,0,1,2,1386.25,277.25,10,0.0,Very Long,1,1
208,20240103,2024-01-03,3371,545,4,2,120,13,1101,0,0,0,3,354.8,0.0,0,0.0,Long,0,1
209,20240315,2024-03-15,8007,864,1,1,106,1,161,1,0,1,3,660.17,198.05,10,0.0,Very Short,1,1
210,20241205,2024-12-05,3349,284,0,0,28,10,1485,0,0,0,4,479.14,0.0,0,0.0,Very Long,0,1
211,20241002,2024-10-02,7451,871,4,2,84,6,1732,1,0,1,2,1783.44,0.0,0,0.0,Very Long,1,1
212,20240728,2024-07-28,8100,521,2,0,149,12,135,0,0,0,3,173.91,156.52,30,0.0,Very Short,0,1
213,20240818,2024-08-18,5043,784,2,0,197,13,215,1,0,1,3,1301.52,780.91,20,0.0,Very Short,1,1
214,20240530,2024-05-30,7631,637,1,0,159,15,807,0,0,0,4,350.27,140.11,10,0.0,Short,1,1
215,20241126,2024-11-26,3449,516,3,0,88,5,1511,1,1,0,1,1499.31,449.79,30,1049.52,Very Long,1,1
216,20240227,2024-02-27,1713,726,0,1,10,9,1792,0,0,0,1,1086.95,54.35,5,0.0,Very Long,1,1
217,20240424,2024-04-24,1867,563,0,1,147,8,475,1,0,1,1,330.73,99.22,30,0.0,Short,1,1
218,20240314,2024-03-14,5022,730,1,0,117,1,1462,0,0,0,3,222.24,0.0,0,0.0,Very Long,1,1
219,20241105,2024-11-05,9122,403,3,0,160,14,476,0,0,0,3,1390.1,0.0,0,0.0,Short,1,1
220,20240716,2024-07-16,2148,32,3,1,86,19,113,0,0,0,1,385.29,0.0,0,0.0,Very Short,0,1
221,20240906,2024-09-06,5101,189,2,1,199,14,1213,0,0,0,3,675.87,202.76,10,0.0,Long,1,1
222,20241201,2024-12-01,7335,474,2,0,0,14,1255,1,0,1,1,739.72,0.0,0,0.0,Long,1,1
223,20240312,2024-03-12,2821,90,1,0,176,23,954,1,1,0,4,1926.47,1541.18,20,6164.7,Long,0,1
224,20241218,2024-12-18,7493,411,3,1,223,2,1768,0,0,0,4,569.02,0.0,0,0.0,Very Long,0,1
225,20240216,2024-02-16,3753,11,4,2,13,13,32,1,0,1,4,628.99,377.39,15,0.0,Very Short,0,1
226,20241002,2024-10-02,8277,458,5,0,137,13,853,1,0,1,4,1136.24,681.74,15,0.0,Short,0,1
227,20240913,2024-09-13,6212,191,0,1,115,22,198,1,0,1,1,1076.93,107.69,10,0.0,Very Short,1,1
228,20241028,2024-10-28,5921,670,3,1,83,9,1760,1,1,0,4,1471.15,588.46,10,5296.14,Very Long,1,1
229,20240227,2024-02-27,2590,484,4,0,204,7,347,1,1,0,3,378.3,170.24,15,964.67,Very Short,0,1
230,20241216,2024-12-16,5168,814,0,2,24,12,1454,0,0,0,3,509.26,458.33,30,0.0,Very Long,1,1
231,20241016,2024-10-16,8708,810,2,1,148,19,1654,0,0,0,3,1889.33,1417.0,25,0.0,Very Long,0,1
232,20240210,2024-02-10,1175,355,5,1,213,12,68,0,0,0,3,992.27,0.0,0,0.0,Very Short,1,1
